ID,rodata,data,hora,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
8396,38,2023-12-06,19:00,Goias,America-MG,Goias,1,0
8397,38,2023-12-06,21:32,Internacional,Botafogo-RJ,Internacional,3,1
8398,38,2023-12-06,21:32,Coritiba,Corinthians,Corinthians,0,2
8399,38,2023-12-06,21:32,Fluminense,Gremio,Gremio,2,3
8400,38,2023-12-06,21:32,Cruzeiro,Palmeiras,-,1,1
8401,38,2023-12-06,21:32,Bahia,Atletico-MG,Bahia,4,1
8402,38,2023-12-06,21:32,Cuiaba,Athletico-PR,Cuiaba,3,0
8403,38,2023-12-06,21:32,Santos,Fortaleza,Fortaleza,1,2
8404,38,2023-12-06,21:32,Sao Paulo,Flamengo,Sao Paulo,1,0
8405,38,2023-12-06,21:32,Vasco,Bragantino,Vasco,2,1
